number	value
1	1
2	2
3	Crackle
4	4
5	Pop
6	Crackle
7	7
8	8
9	Crackle
10	Pop
11	11
12	Crackle
13	13
14	14
15	CracklePop
16	16
17	17
18	Crackle
19	19
20	Pop
21	Crackle
22	22
23	23
24	Crackle
25	Pop
26	26
27	Crackle
28	28
29	29
30	CracklePop
31	31
32	32
33	Crackle
34	34
35	Pop
36	Crackle
37	37
38	38
39	Crackle
40	Pop
41	41
42	Crackle
43	43
44	44
45	CracklePop
46	46
47	47
48	Crackle
49	49
50	Pop
51	Crackle
52	52
53	53
54	Crackle
55	Pop
56	56
57	Crackle
58	58
59	59
60	CracklePop
61	61
62	62
63	Crackle
64	64
65	Pop
66	Crackle
67	67
68	68
69	Crackle
70	Pop
71	71
72	Crackle
73	73
74	74
75	CracklePop
76	76
77	77
78	Crackle
79	79
80	Pop
81	Crackle
82	82
83	83
84	Crackle
85	Pop
86	86
87	Crackle
88	88
89	89
90	CracklePop
91	91
92	92
93	Crackle
94	94
95	Pop
96	Crackle
97	97
98	98
99	Crackle
100	Pop
